class_id,id,enrolled,capacity,message,timestamp
WINTER 2024 49114,98853,0,1,"",2023-11-21 00:00:00.000000
WINTER 2024 49122,98854,0,1,"",2023-11-21 00:00:00.000000
WINTER 2024 49130,98855,0,1,"",2023-11-21 00:00:00.000000
WINTER 2024 31641,98856,24,28,"",2023-11-21 00:00:00.000000
WINTER 2024 31674,98857,25,30,"",2023-11-21 00:00:00.000000
WINTER 2024 31708,98858,127,125,"",2023-11-21 00:00:00.000000
WINTER 2024 31765,98859,7,12,"",2023-11-21 00:00:00.000000
WINTER 2024 31781,98860,0,14,"",2023-11-21 00:00:00.000000
WINTER 2024 61473,98861,5,15,"",2023-11-21 00:00:00.000000
WINTER 2024 47852,98862,24,24,"",2023-11-21 00:00:00.000000
WINTER 2024 47886,98863,24,24,"",2023-11-21 00:00:00.000000
WINTER 2024 47910,98864,24,24,"",2023-11-21 00:00:00.000000
WINTER 2024 47944,98865,24,24,"",2023-11-21 00:00:00.000000
WINTER 2024 52894,98866,24,24,"",2023-11-21 00:00:00.000000
WINTER 2024 52829,98867,24,24,"",2023-11-21 00:00:00.000000
WINTER 2024 52837,98868,24,24,"",2023-11-21 00:00:00.000000
WINTER 2024 52845,98869,23,24,"",2023-11-21 00:00:00.000000
WINTER 2024 55830,98870,24,24,"",2023-11-21 00:00:00.000000
WINTER 2024 68973,98871,24,24,"",2023-11-21 00:00:00.000000
WINTER 2024 52928,98872,24,24,"",2023-11-21 00:00:00.000000
WINTER 2024 52951,98873,24,24,"",2023-11-21 00:00:00.000000
WINTER 2024 52985,98874,21,24,"",2023-11-21 00:00:00.000000
WINTER 2024 47472,98875,1,24,"",2023-11-21 00:00:00.000000
WINTER 2024 47480,98876,14,24,"",2023-11-21 00:00:00.000000
WINTER 2024 47498,98877,23,24,"",2023-11-21 00:00:00.000000
WINTER 2024 47506,98878,24,24,"",2023-11-21 00:00:00.000000
WINTER 2024 47514,98879,15,24,"",2023-11-21 00:00:00.000000
WINTER 2024 47522,98880,18,24,"",2023-11-21 00:00:00.000000
WINTER 2024 47530,98881,24,24,"",2023-11-21 00:00:00.000000
WINTER 2024 47548,98882,24,24,"",2023-11-21 00:00:00.000000
WINTER 2024 47555,98883,21,24,"",2023-11-21 00:00:00.000000
WINTER 2024 47563,98884,24,24,"",2023-11-21 00:00:00.000000
WINTER 2024 47605,98885,55,60,"",2023-11-21 00:00:00.000000
WINTER 2024 51458,98886,32,40,"",2023-11-21 00:00:00.000000
WINTER 2024 51383,98887,9,20,"",2023-11-21 00:00:00.000000
WINTER 2024 51466,98888,6,30,"",2023-11-21 00:00:00.000000
WINTER 2024 47662,98889,50,50,"",2023-11-21 00:00:00.000000
WINTER 2024 51474,98890,10,40,"",2023-11-21 00:00:00.000000
WINTER 2024 51391,98891,5,25,"",2023-11-21 00:00:00.000000
WINTER 2024 62752,98892,10,24,"",2023-11-21 00:00:00.000000
WINTER 2024 51425,98893,30,30,"",2023-11-21 00:00:00.000000
WINTER 2024 70540,98894,1,30,"",2023-11-21 00:00:00.000000
WINTER 2024 47670,98895,5,30,"",2023-11-21 00:00:00.000000
WINTER 2024 51375,98896,16,20,"",2023-11-21 00:00:00.000000
WINTER 2024 51367,98897,3,30,"",2023-11-21 00:00:00.000000
WINTER 2024 47712,98898,17,25,"",2023-11-21 00:00:00.000000
WINTER 2024 47738,98899,8,23,"",2023-11-21 00:00:00.000000
WINTER 2024 51359,98900,1,30,"",2023-11-21 00:00:00.000000
WINTER 2024 51409,98901,1,25,"",2023-11-21 00:00:00.000000
WINTER 2024 51334,98902,11,27,"",2023-11-21 00:00:00.000000
WINTER 2024 47753,98903,0,10,"",2023-11-21 00:00:00.000000
WINTER 2024 47761,98904,0,15,"",2023-11-21 00:00:00.000000
WINTER 2024 09183,98905,364,375,"",2023-11-21 00:00:00.000000
WINTER 2024 09316,98906,75,75,"",2023-11-21 00:00:00.000000
WINTER 2024 09357,98907,180,180,"",2023-11-21 00:00:00.000000
