course_acronym,prerequisite_acronym,is_strong,is_same_major
ECE 10A,MAT 2B,false,false
ECE 10A,MAT 3A,false,false
ECE 10A,MAT 3B,false,false
ECE 10A,MAT 4A,false,false
ECE 10A,MAT 3C,false,false
ECE 10A,MAT 4B,false,false
ECE 10A,MAT 5A,false,false
ECE 10A,PHYS 3,false,false
ECE 10A,PHYS 23,false,false
ECE 10AL,ECE 10A,false,true
ECE 10B,ECE 10A,false,true
ECE 10BL,ECE 10B,false,true
ECE 96,ED 12,false,false
ECE 120A,ECE 132,false,true
ECE 122B,ECE 124A,false,true
ECE 122B,ECE 123,false,true
ECE 122B,ECE 122A,false,true
ECE 130A,MAT 4B,false,false
ECE 130A,MAT 5A,false,false
ECE 130B,ECE 130A,false,true
ECE 137A,ECE 10A,false,true
ECE 137A,ECE 10B,false,true
ECE 137A,ECE 10C,false,true
ECE 137A,ECE 2A,false,true
ECE 137A,ECE 2B,false,true
ECE 137A,ECE 2C,false,true
ECE 137A,ECE 130A,false,true
ECE 137A,ECE 132,false,true
ECE 141A,ME 16,false,false
ECE 141A,ME 17,false,false
ECE 141A,ME 152A,false,false
ECE 141A,ME 151A,false,false
ECE 141A,ECE 130A,true,true
ECE 141A,ECE 137A,true,true
ECE 144,ECE 134,false,true
ECE 145B,ECE 145A,false,true
ECE 146A,ECE 130A,false,true
ECE 146A,ECE 130B,false,true
ECE 147B,ECE 147A,false,true
ECE 153B,ECE 152A,false,true
ECE 154B,ECE 154A,false,true
ECE 157B,ECE 157A,false,true
ECE 162B,ECE 162A,false,true
ECE 179P,ENGR 3,false,false
ECE 179P,ME 17,false,false
ECE 179P,ECE 130C,false,true
ECE 179P,ENGR 170A,false,false
ECE 179P,ECE 181A,false,true
ECE 188B,ECE 188A,false,true
ECE 189B,ECE 189A,false,true
ECE 196,MUS 1,false,false
ECE 199,Electrical Computer Engineering - ECE 2,true,false
ENGR 120B,ENGR 120A,false,true
ENGR 195B,ENGR 195A,false,true
ENGL 10,WRIT 2,false,false
ENGL 99,ENGL 10,false,true
ENGL 99,ENGL 10A,false,true
ENGL 99,ENGL 10E,false,true
ENGL 99,ENGL 10L,false,true
ENGL 99,ENGL 3,false,true
ENGL 99,ENGL 0,false,true
ENGL 102,WRIT 2,false,false
ENGL 102,WRIT 50,false,false
ENGL 102,WRIT 109,false,false
ENGL 102,ENGL 10,false,true
ENGL 103A,WRIT 2,false,false
ENGL 103A,WRIT 50,false,false
ENGL 103A,WRIT 109,false,false
ENGL 103A,ENGL 10,false,true
ENGL 103AS,WRIT 2,false,false
ENGL 103AS,WRIT 50,false,false
ENGL 103AS,WRIT 109,false,false
ENGL 103AS,ENGL 10,false,true
ENGL 104B,WRIT 2,false,false
ENGL 104B,WRIT 50,false,false
ENGL 104B,WRIT 109,false,false
ENGL 104B,ENGL 10,false,true
ENGL 104BS,WRIT 2,false,false
ENGL 104BS,WRIT 50,false,false
ENGL 104BS,WRIT 109,false,false
ENGL 104BS,ENGL 10,false,true
ENGL 105A,WRIT 2,false,false
ENGL 105AS,ENGL 105A,false,true
ENGL 122NE,WRIT 2,false,false
ENGL 128GN,WRIT 2,false,false
ENGL 128GN,WRIT 50,false,false
ENGL 128GN,WRIT 109,false,false
ENGL 128GN,ENGL 10,false,true
ENGL 133TL,WRIT 2,false,false
ENGL 144,WRIT 2,false,false
ENGL 144,WRIT 50,false,false
ENGL 146AI,WRIT 2,false,false
ENGL 146DS,WRIT 2,false,false
ENGL 146GB,WRIT 2,false,false
ENGL 146GB,WRIT 50,false,false
ENGL 146GB,WRIT 109A,false,false
ENGL 146GB,ENGL 10,false,true
ENGL 147WT,WRIT 2,false,false
ENGL 165AD,WRIT 2,false,false
ENGL 171,WRIT 2,false,false
ENGL 171,WRIT 50,false,false
ENGL 171,WRIT 109,false,false
ENGL 171,ENGL 10,false,true
ENGL 183WP,WRIT 2,false,false
ENGL 183WP,WRIT 50,false,false
ENGL 183WP,WRIT 109,false,false
ENGL 183WP,ENGL 10,false,true
ENGL 192WW,WRIT 2,false,false
ENGL 192WW,WRIT 50,false,false
ENGL 192WW,WRIT 109,false,false
ENGL 192WW,ENGL 10,false,true
ENGL 196,WRIT 2,false,false
ENGL 196,ENGL 198H,false,true
ENGL 197,WRIT 2,false,false
ENGL 197,WRIT 50,false,false
ENGL 197,WRIT 109,false,false
ENGL 197,ENGL 10,false,true
ENV S 2H,ENV S 2,false,true
ENV S 40,ENV S 1,false,true
ENV S 40,ENV S 2,false,true
ENV S 40,ENV S 3,false,true
ENV S 115,ENV S 2,false,true
ENV S 115,MAT 2B,false,false
ENV S 115,MAT 3B,false,false
ENV S 115,MAT 34B,false,false
ENV S 115,MAT 34A,false,false
ENV S 115,ENV S 25,false,true
ENV S 120B,ENV S 120,false,true
ENV S 120B,ENV S 120A,false,true
ENV S 125A,ENV S 1,false,true
ENV S 125A,ENV S 2,false,true
ENV S 125A,ENV S 3,false,true
ENV S 130B,ENV S 1,false,true
ENV S 130B,ENV S 3,false,true
ENV S 130B,ANTH 2,false,false
ENV S 130C,ENV S 100,false,true
ENV S 130C,MCDB 1A,false,false
ENV S 130C,MCDB 1B,false,false
ENV S 130C,EEMB 2,false,false
ENV S 130C,EEMB 3,false,false
ENV S 141,CHEM 1B,false,false
ENV S 141,MAT 3B,false,false
ENV S 141,MAT 34B,false,false
ENV S 141,ENV S 25,false,true
ENV S 144,MAT 3A,false,false
ENV S 144,MAT 3B,false,false
ENV S 144,MAT 34A,false,false
ENV S 144,MAT 34B,false,false
ENV S 152,ENV S 100,false,true
ENV S 152,MCDB 1A,false,false
ENV S 152,MCDB 1B,false,false
ENV S 152,EEMB 2,false,false
ENV S 152,EEMB 3,false,false
ENV S 152,MAT 3A,false,false
ENV S 152,MAT 34A,false,false
ENV S 154,ENV S 2,false,true
ENV S 154,ENV S 1,false,true
ENV S 154,ENV S 3,false,true
ENV S 161,ENV S 1,false,true
ENV S 161,ENV S 2,false,true
ENV S 161,ENV S 3,false,true
ENV S 163A,ENV S 3,false,true
ENV S 163A,POL S 12,false,false
ENV S 163A,MAT 2A,false,false
ENV S 163A,MAT 3A,false,false
ENV S 163A,MAT 34A,false,false
ENV S 163A,PSTAT 5A,false,false
ENV S 163A,PSTAT 5L,false,false
ENV S 163A,PSTAT 109,false,false
ENV S 165B,ENV S 165A,false,true
ENV S 175,ECON 10A,false,false
ENV S 175,ECON 100A,false,false
ENV S 175,ECON 104A,false,false
ENV S 177,ENV S 1,false,true
ENV S 177,POL S 6,false,false
ENV S 188,ENV S 1,false,true
ENV S 188,ENV S 3,false,true
ENV S 191,Environmental Studies - ENV S 2,false,false
ENV S 191,MCDB 20,false,false
ENV S 191,EEMB 22,false,false
ENV S 191,MCDB 1A,true,false
ENV S 191,MCDB 1B,true,false
ENV S 191,EEMB 2,true,false
ENV S 191,EEMB 3,true,false
ENV S 195B,ENV S 195A,false,true
ESS 199,Exercise & Sport Studies - ESS 2,false,false
FEMST 99,Feminist Studies - FEMST 1,false,false
FEMST 99,Feminist Studies - FEMST 4,false,false
FEMST 139,MS 30,false,false
FEMST 139,MS 50,false,false
FEMST 195HB,MS 195H,false,false
FEMST 198,Feminist Studies - FEMST 2,false,false
FEMST 199,Feminist Studies - FEMST 2,false,false
FAMST 101C,MS 46,true,false
FAMST 101C,MS 70,true,false
FAMST 101CH,MS 101C,true,false
FAMST 101D,MS 46,true,false
FAMST 101D,MS 70,true,false
FAMST 104,MS 46,true,false
FAMST 106B,ES 46,false,false
FAMST 106B,ES 102,false,false
FAMST 106B,ES 104,false,false
FAMST 106B,ES 107,false,false
FAMST 107,MS 46,true,false
FAMST 113PW,ES 46,false,false
FAMST 115,ES 104,false,false
FAMST 115,ES 105,false,false
FAMST 119ML,MS 46,false,false
FAMST 150AD,ES 46,false,false
FAMST 166TN,ES 46,false,false
FAMST 183,MS 46,false,false
FAMST 187AR,ES 46,false,false
FAMST 187SH,ES 46,false,false
FAMST 187TP,ES 46,false,false
FAMST 188B,ES 188A,false,false
FAMST 189DM,MS 46,false,false
FAMST 189DM,MS 70,false,false
