id,enrollment_code,class_id,days,time,location
WINTER 2022 02139,02139,WINTER 2022 02089,0000100,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",ON LINE
WINTER 2022 02147,02147,WINTER 2022 02089,0000100,"(""1900-01-01 12:00:00"",""1900-01-01 12:50:00"")",LSB 1101
WINTER 2022 02154,02154,WINTER 2022 02089,0000100,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",ON LINE
WINTER 2022 02162,02162,WINTER 2022 02089,0000100,"(""1900-01-01 14:00:00"",""1900-01-01 14:50:00"")",ON LINE
WINTER 2022 02253,02253,WINTER 2022 02253,0001000,"(""1900-01-01 17:00:00"",""1900-01-01 17:50:00"")",HSSB 1236
WINTER 2022 02261,02261,WINTER 2022 02253,0001000,"(""1900-01-01 18:00:00"",""1900-01-01 18:50:00"")",HSSB 1227
WINTER 2022 02279,02279,WINTER 2022 02253,0001000,"(""1900-01-01 19:00:00"",""1900-01-01 19:50:00"")",GIRV 2123
WINTER 2022 02311,02311,WINTER 2022 02253,0000100,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",HSSB 1223
WINTER 2022 02329,02329,WINTER 2022 02253,0000100,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",GIRV 2112
WINTER 2022 02337,02337,WINTER 2022 02253,0000100,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",ARTS 1353
WINTER 2022 52084,52084,WINTER 2022 02253,0000100,"(""1900-01-01 12:00:00"",""1900-01-01 12:50:00"")",GIRV 2116
WINTER 2022 52076,52076,WINTER 2022 02253,0000100,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",HSSB 2251
WINTER 2022 52092,52092,WINTER 2022 02253,0000100,"(""1900-01-01 14:00:00"",""1900-01-01 14:50:00"")",HSSB 1210
WINTER 2022 52134,52134,WINTER 2022 52134,0001000,"(""1900-01-01 17:00:00"",""1900-01-01 17:50:00"")",HSSB 1233
WINTER 2022 52142,52142,WINTER 2022 52134,0001000,"(""1900-01-01 18:00:00"",""1900-01-01 18:50:00"")",HSSB 1224
WINTER 2022 52159,52159,WINTER 2022 52134,0000100,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",GIRV 2123
WINTER 2022 52167,52167,WINTER 2022 52134,0000100,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",HSSB 1215
WINTER 2022 52175,52175,WINTER 2022 52134,0000100,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",GIRV 1116
WINTER 2022 52183,52183,WINTER 2022 52134,0000100,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",ARTS 1349
WINTER 2022 52191,52191,WINTER 2022 52134,0000100,"(""1900-01-01 12:00:00"",""1900-01-01 12:50:00"")",GIRV 2112
WINTER 2022 52209,52209,WINTER 2022 52134,0000100,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",HSSB 1237
WINTER 2022 52217,52217,WINTER 2022 52134,0000100,"(""1900-01-01 14:00:00"",""1900-01-01 14:50:00"")",HSSB 1207
WINTER 2022 02477,02477,WINTER 2022 02477,0100000,"(""1900-01-01 19:00:00"",""1900-01-01 19:50:00"")",GIRV 2127
WINTER 2022 02485,02485,WINTER 2022 02477,0001000,"(""1900-01-01 19:00:00"",""1900-01-01 19:50:00"")",GIRV 1115
WINTER 2022 02493,02493,WINTER 2022 02477,0001000,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",HSSB 2251
WINTER 2022 02501,02501,WINTER 2022 02477,0001000,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",SH 1609
WINTER 2022 02519,02519,WINTER 2022 02477,0000100,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",HSSB 1233
WINTER 2022 02527,02527,WINTER 2022 02477,0000100,"(""1900-01-01 12:00:00"",""1900-01-01 12:50:00"")",HSSB 1231
WINTER 2022 02600,02600,WINTER 2022 02600,0000100,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",GIRV 2124
WINTER 2022 02618,02618,WINTER 2022 02600,0000100,"(""1900-01-01 18:00:00"",""1900-01-01 18:50:00"")",GIRV 2124
WINTER 2022 02626,02626,WINTER 2022 02600,0000100,"(""1900-01-01 19:00:00"",""1900-01-01 19:50:00"")",GIRV 2124
WINTER 2022 02634,02634,WINTER 2022 02600,0001000,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",387 1015
WINTER 2022 02642,02642,WINTER 2022 02600,0000100,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",387 1015
WINTER 2022 02659,02659,WINTER 2022 02600,0000100,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",GIRV 1112
WINTER 2022 02667,02667,WINTER 2022 02600,0000100,"(""1900-01-01 12:00:00"",""1900-01-01 12:50:00"")",GIRV 1116
WINTER 2022 02675,02675,WINTER 2022 02600,0000100,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",387 1015
WINTER 2022 02766,02766,WINTER 2022 02766,1000000,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",SH 3707
WINTER 2022 02774,02774,WINTER 2022 02766,1000000,"(""1900-01-01 12:00:00"",""1900-01-01 12:50:00"")",SH 3707
WINTER 2022 02782,02782,WINTER 2022 02766,1000000,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",SH 3707
WINTER 2022 02790,02790,WINTER 2022 02766,0010000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",SH 3707
WINTER 2022 02808,02808,WINTER 2022 02766,0010000,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",SH 3707
WINTER 2022 02816,02816,WINTER 2022 02766,0010000,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",SH 3707
