class_id,instructor_id
56283,VGVhY2hlci0yNTkyNjUz
09761,VGVhY2hlci0yNTcyMDMz
09761,VGVhY2hlci0yNzIwNDE3
56291,VGVhY2hlci0yNjA0NDgw
09779,VGVhY2hlci05MzMwODA=
09787,VGVhY2hlci0yNjA0NDgw
03285,VGVhY2hlci0xMzMzNjg=
61754,VGVhY2hlci0zNjM5MDI=
61689,VGVhY2hlci0yNTIwOTA2
03368,VGVhY2hlci0yOTM0NjU2
61960,VGVhY2hlci02NjY0NTM=
03483,VGVhY2hlci0yMzMzNjE3
07013,VGVhY2hlci0yNjgzOTM3
62216,VGVhY2hlci0yNjgzOTM3
08235,VGVhY2hlci0yMzQyMTk0
57612,VGVhY2hlci0yNDUwNjA1
07070,VGVhY2hlci0yODM2MDE0
57687,VGVhY2hlci0yOTM4Mzc4
07138,VGVhY2hlci0yMjU4MjYy
07195,VGVhY2hlci0yOTM4Mzc4
07245,VGVhY2hlci0yMTc4MDcx
07302,VGVhY2hlci0yMTc4MDcx
07443,VGVhY2hlci04NDUxOTM=
07484,VGVhY2hlci03NTUxMjQ=
07526,VGVhY2hlci0yNjg1NDA2
07575,VGVhY2hlci0yNTcxMTEx
57893,VGVhY2hlci0yNjMyNDk1
07666,VGVhY2hlci00NzA3NzY=
57943,VGVhY2hlci0yNTAyMDcx
07732,VGVhY2hlci0yNjAzOTU3
07781,VGVhY2hlci0yODg0MjMz
07823,VGVhY2hlci0xMjY0NDY3
07849,VGVhY2hlci0yNDY5OTMz
59428,VGVhY2hlci0yNDk3NTQ3
62828,VGVhY2hlci0yMTc4MDcx
08383,VGVhY2hlci0xMTQ2MDYz
08391,VGVhY2hlci0yMjU4MjYy
08409,VGVhY2hlci0yMzQyMTk0
08581,VGVhY2hlci0yNDY4NTMy
09910,VGVhY2hlci01NTE2NDM=
09936,VGVhY2hlci0yOTUxOTIz
52241,VGVhY2hlci0yODgzMTEx
71258,VGVhY2hlci01NTE2NDM=
09993,VGVhY2hlci03NzcxNTg=
62844,VGVhY2hlci0yODgzMTEx
10058,VGVhY2hlci01NTE2NDM=
10074,VGVhY2hlci03NzcxNTg=
10140,VGVhY2hlci03NzcxNTg=
62851,VGVhY2hlci0yODgzMTEx
10173,VGVhY2hlci01NTE2NDM=
10215,VGVhY2hlci01NTE2NDM=
10223,VGVhY2hlci03NzcxNTg=
10736,VGVhY2hlci00MzMxOTA=
10801,VGVhY2hlci0yNzc3MTI2
10926,VGVhY2hlci0yNTQzNDA5
11189,VGVhY2hlci0yODQzMjQy
11312,VGVhY2hlci0yNzc3MTI2
58644,VGVhY2hlci0zMTA0NTY=
11353,VGVhY2hlci0yMjY1MDQw
11379,VGVhY2hlci0xNTUwOTgz
58701,VGVhY2hlci0yMjM1NDQx
58743,VGVhY2hlci0yMTE1Nzk1
11478,VGVhY2hlci05Njg3Nzg=
58818,VGVhY2hlci0yMzQ0NTk5
58784,VGVhY2hlci0yMjY1MDQw
11551,VGVhY2hlci04MjI0MTA=
58859,VGVhY2hlci0xOTkyNjE3
63610,VGVhY2hlci0yNDg0NDA0
53033,VGVhY2hlci03NTExNzI=
10306,VGVhY2hlci0yNDY0Njc3
53082,VGVhY2hlci03OTU3MjU=
52480,VGVhY2hlci0xODg4NzQ2
16733,VGVhY2hlci0xNTQwMDM=
16733,VGVhY2hlci0xMjU0ODA3
16733,VGVhY2hlci0yMTA5NDc4
16774,VGVhY2hlci0xNTQwMDM=
16774,VGVhY2hlci0xMjU0ODA3
16774,VGVhY2hlci0yMTA5NDc4
