id,acronym,first_name,last_name,department,difficulty,rating,take_again_percentage,tags,reviews_cnt,img_url
VGVhY2hlci0xODg4MDc0,,David,Walker,Religious Studies,3.4,4.9,86,"{Amazing lectures ,Get ready to read,Skip class? You won't pass.,Inspirational,Lecture heavy,Respected,Would take again,Caring,Graded by few things,Accessible outside class,Participation matters,Tests? Not many,Hilarious,Beware of pop quizzes,Clear grading criteria,Gives good feedback,Test heavy}",35,
VGVhY2hlci0xOTgzNDMz,,Lanny,Ebenstein ,Economics,2.9,3.5,59,"{Get ready to read,Lecture heavy,So many papers,Tough grader,Skip class? You won't pass.,Beware of pop quizzes,Amazing lectures ,Clear grading criteria,Participation matters,Gives good feedback,Inspirational,Lots of homework,Caring,Respected,Graded by few things,Accessible outside class}",23,https://econ.ucsb.edu/sites/default/files/styles/medium_square/public/2020-09/lanny-ebenstein.jpg?h=36b2c8b8&itok=_9Xu-fDN
VGVhY2hlci0yNDg2ODc5,,Yufei,Ding,Computer Science,3.5,1.8,25,{Lots of homework},4,https://engineering.ucsb.edu/sites/default/files/styles/people_thumb_small/public/people/images/Yufei_3.jpeg?itok=ilxTzRuN&c=e9a12956e30a0675037ec16f310386e4
VGVhY2hlci0xMDMxMDg3,BENELLI C A,Cindy,Benelli,Economics,3.3,3.3,49,"{Caring,Skip class? You won't pass.,Get ready to read,Graded by few things,Tough grader,Clear grading criteria,Test heavy,Hilarious,Respected,EXTRA CREDIT,Amazing lectures ,Lecture heavy,Accessible outside class,Gives good feedback,Lots of homework,Inspirational,Would take again,Tests are tough,Participation matters,Tests? Not many,Beware of pop quizzes}",166,
VGVhY2hlci0zNDg3MjI=,KAPLAN C S,Cynthia,Kaplan,Political Science,4.1,2.8,50,"{Get ready to read,Lots of homework,Lecture heavy,Graded by few things,Tough grader,Skip class? You won't pass.}",24,https://www.polsci.ucsb.edu/sites/default/files/styles/people_node/public/people/photo/Kaplan%20Portrait%20for%20web%202.jpg?itok=bp8mwg3Y
VGVhY2hlci0xOTgxOTY3,MARTIN J A,Jen,Martin,History,3.3,4,66,"{Get ready to read,Participation matters,Lecture heavy,Caring,Skip class? You won't pass.,Clear grading criteria,Tough grader,Amazing lectures ,Inspirational,Accessible outside class,Graded by few things,EXTRA CREDIT,Gives good feedback,Respected,Lots of homework,So many papers,Test heavy,Tests? Not many,Beware of pop quizzes}",72,https://es.ucsb.edu/sites/default/files/images/2020-01/JenM.png
VGVhY2hlci0yNzk1NTE2,,Gareth,Peters,Statistics,3.9,3.4,100,"{Caring,Lecture heavy,Lots of homework,Tough grader,Amazing lectures ,Inspirational,Accessible outside class}",4,
VGVhY2hlci0yOTAzMzM=,,James,Potter,Communication,4,2.4,10,"{Tough grader,Lecture heavy,Graded by few things,Skip class? You won't pass.,Get ready to read,Test heavy,Tests are tough,Participation matters,Hilarious,Beware of pop quizzes}",50,
VGVhY2hlci0yODg1Njc1,,Evelyn,Vera-Flandez,Spanish & Portuguese,3,1,-1,"{Tough grader,Participation matters,Graded by few things}",1,
VGVhY2hlci0yNTU0NTI3,ESPONDA I,Ignacio,Esponda,Economics,2.5,5,100,"{Amazing lectures ,Caring,Accessible outside class,Clear grading criteria,Respected,EXTRA CREDIT,Gives good feedback,Inspirational}",8,https://econ.ucsb.edu/sites/default/files/styles/medium_square/public/2020-08/ignacio-esponda.jpg?h=36b2c8b8&itok=twePDULv
VGVhY2hlci0yNzIwNDIx,,Daniel,Montello,Geography,4.3,1.6,0,"{Graded by few things,Get ready to read,Test heavy,Tough grader,Lecture heavy,Accessible outside class}",4,https://www.geog.ucsb.edu/sites/default/files/styles/medium_square/public/2021-01/dan-montello.jpg?h=10ce99ef&itok=hTc7-f-B
VGVhY2hlci0yODg4OTA5,,Alyssa,Lawson,Psychology,3,5,100,"{Amazing lectures ,Clear grading criteria,Gives good feedback,Caring,Accessible outside class}",3,
VGVhY2hlci0yNTg5MDM1,PEDERSEN H W,Hal,Pedersen,Statistics,4,2.1,38,"{Graded by few things,Test heavy,Tough grader,Get ready to read,Skip class? You won't pass.,Amazing lectures ,Clear grading criteria,Inspirational,Lots of homework,Respected,Lecture heavy}",10,https://www.pstat.ucsb.edu/sites/default/files/styles/people_node/public/people/photo/Hal%20Pedersen_PSTAT_001.jpg?itok=gdjmb8Gb
VGVhY2hlci0yNzE4ODQy,,Cosmin,Borsa,Statistics,5,2,0,"{Tough grader,Lecture heavy,Graded by few things}",1,https://www.pstat.ucsb.edu/sites/default/files/styles/people_node/public/people/photo/Cosmin%20Borsa.jpg?itok=2im2crlP
VGVhY2hlci0yMTUzMzg5,,Micaela,Diaz Sanchez,Chicano Studies,2.5,2.9,47,"{Get ready to read,Graded by few things,EXTRA CREDIT,Clear grading criteria,Caring,Inspirational,Accessible outside class,Participation matters,Amazing lectures ,Would take again,Lots of homework,Beware of pop quizzes,So many papers,Lecture heavy,Online Savvy}",20,
VGVhY2hlci0yODkyNzMw,HOFMANN M J,Michael,Hofmann,Germanic & Russian Studies,1,5,100,"{Caring,Lots of homework,Hilarious,Respected}",2,https://www.gss.ucsb.edu/sites/default/files/styles/people_node/public/people/photo/Hofmann_Michael%20jpg.jpg?itok=wcNEJkbC
VGVhY2hlci0xNjkwMzg=,,Richard,Hecht,Religious Studies,2.8,3.5,58,"{Get ready to read,Skip class? You won't pass.,Caring,EXTRA CREDIT,Clear grading criteria,Lecture heavy,Amazing lectures ,Respected,Inspirational,Hilarious,Graded by few things,Participation matters,Lots of homework,So many papers,Accessible outside class,Tough grader,Would take again,Test heavy}",101,https://www.religion.ucsb.edu/wp-content/uploads/Richard-Hecht.jpg
VGVhY2hlci0yODkxODU1,,Emmanuela,Schoinoplokaki,Classics,1,5,100,"{Participation matters,Hilarious,Caring}",1,
VGVhY2hlci0yODkzOTA5,,Keith,Dyck,Philosophy,1,5,100,"{Clear grading criteria,Gives good feedback,Inspirational}",1,
VGVhY2hlci0yODk1MjAw,,Yibei,Chen,Communication,0,0,-1,"",0,
VGVhY2hlci0xNjY3ODAw,,Craig,Rawlings,Sociology,2.3,4.8,100,"{Hilarious,Amazing lectures ,Accessible outside class,Inspirational,Skip class? You won't pass.,Clear grading criteria,Caring,Respected,Participation matters,Would take again,Gives good feedback,Lots of homework,Graded by few things}",32,
VGVhY2hlci0yODk1Nzc0,,Maegan ,Miller-Likhethe,Global Studies,0,0,-1,"",0,
VGVhY2hlci0yODk0NTAz,,Mae,Miller-Likhethe ,Global & International Studies,0,0,-1,"",0,
VGVhY2hlci0yODk2MTkw,,Dr. Coco,Gutiérrez-Magallanes,Feminist Studies,1.8,2.4,100,"{Amazing lectures ,Hilarious,Caring}",5,
VGVhY2hlci0yODcyODI0,,Enteshari,Fariba,Religion,0,0,-1,"",0,
VGVhY2hlci0yMzk0MTI5,MITCHELL G M,Greg,Mitchell,Theater,3.5,3.3,100,"{Tough grader,Lots of homework,Participation matters,Gives good feedback,Inspirational,Hilarious,Respected,Accessible outside class}",5,
VGVhY2hlci0yNTc2MTA1,,Jillian,Mullen,Linguistics,2.9,3.8,100,"{Gives good feedback,Clear grading criteria,Respected,Accessible outside class,Tough grader,Participation matters,Lots of homework,So many papers}",8,
VGVhY2hlci0xOTY0ODYz,,Naoki,Yamamoto ,Film,3.5,3,75,"{Get ready to read,Skip class? You won't pass.,Lecture heavy,So many papers,Tough grader,Clear grading criteria,Would take again,Inspirational,Respected,Graded by few things}",9,
VGVhY2hlci0yODc2MDE3,,Allie,Appino-Tabone,French,1,1,-1,"",1,
VGVhY2hlci0yOTAxNTQw,,Maitane,Muruamendiaraz,Spanish,2,5,100,"{Graded by few things,Accessible outside class}",1,
VGVhY2hlci0yNTg2MTk0,RUTHERFORD K,Kevin,Rutherford,Writing,2.5,4.4,100,"{Gives good feedback,Caring,Group projects,Inspirational,Participation matters,Clear grading criteria,Accessible outside class,Get ready to read,Hilarious,Respected,Graded by few things}",13,
VGVhY2hlci01NjQwNjk=,,Karen,Szumlinski,Psychology,3.7,4.5,90,"{Amazing lectures ,Hilarious,Caring,Lecture heavy,Respected,Clear grading criteria,Inspirational,Test heavy,Accessible outside class}",77,
VGVhY2hlci0yODU0NjIx,CARATELLI D,David,Caratelli,Physics,3.4,4.9,100,"{Amazing lectures ,Inspirational,Respected,Lecture heavy,Clear grading criteria,Gives good feedback,Caring,Test heavy,Graded by few things}",7,https://www.physics.ucsb.edu/sites/default/files/styles/medium_square/public/2023-04/PXL_20210628_092739741.jpg?itok=jxHDtlm_
VGVhY2hlci0xMTE0Nw==,HOLMES D E,Dawn,Holmes,Statistics,3,3.8,53,"{Skip class? You won't pass.,Test heavy,Graded by few things,Lecture heavy,Tough grader,Caring,Respected,Clear grading criteria,Participation matters,Accessible outside class,Lots of homework,Gives good feedback,Amazing lectures ,Hilarious,Tests are tough,Tests? Not many,Would take again,Beware of pop quizzes,So many papers}",136,https://www.pstat.ucsb.edu/sites/default/files/styles/people_node/public/people/photo/holmes_0.jpg?itok=lEgQVoq7
VGVhY2hlci0yNDI1Mzk3,,Ebrahim,Ebrahim,Mathematics,3.2,3.7,63,"{Lots of homework,Accessible outside class,Gives good feedback,Clear grading criteria,Caring,Skip class? You won't pass.,Graded by few things,Tough grader,Respected,Amazing lectures ,Lecture heavy,EXTRA CREDIT,Hilarious,Test heavy,Get ready to read}",57,
VGVhY2hlci0xNDEzNzk3,LIEN P,Pei-Te,Lien,Political Science,3,2.6,60,"{Lecture heavy,Skip class? You won't pass.,Clear grading criteria,Get ready to read,Tough grader,Graded by few things,Amazing lectures ,So many papers,EXTRA CREDIT,Respected,Participation matters,Gives good feedback,Inspirational,Caring,Test heavy,Accessible outside class}",30,https://www.femst.ucsb.edu/sites/default/files/styles/people_node/public/people/photo/Lien%20-%20August%202015.jpg?itok=ybeXPMJe
VGVhY2hlci0yOTAzNjAz,,Kyle,Hansen,Mathematics,3.5,4.5,100,"{Clear grading criteria,Gives good feedback,Inspirational,Lots of homework,Caring,Lecture heavy}",2,
VGVhY2hlci0yMjQ4NjA1,D'ANCA C,Christene,D'Anca,Literature,3,5,100,"{Gives good feedback,Caring,Clear grading criteria,Get ready to read,Inspirational,So many papers,Tough grader,Participation matters,Amazing lectures ,Lots of homework,Respected}",15,
VGVhY2hlci0yOTAwMzYy,SCHRANCK J B,John,Schranck,Writing,3.1,5,100,"{Gives good feedback,Caring,Participation matters,Group projects,Amazing lectures ,Hilarious,So many papers,Accessible outside class}",5,https://www.writing.ucsb.edu/sites/default/files/styles/people_node/public/people/photo/Schranck%20Headshot%20Taha.jpg?itok=AYWtCvXd
VGVhY2hlci0yOTA1MTMy,,Odog,Time,Mathematics,0,0,-1,"",0,
VGVhY2hlci0yMDgxNTc0,ZYLSTRA S J,Stephen,Zylstra,Philosophy,3,4.1,74,"{Get ready to read,Amazing lectures ,Clear grading criteria,Caring,Accessible outside class,Beware of pop quizzes,Participation matters,Skip class? You won't pass.,Gives good feedback,Respected,Tough grader,Test heavy,Inspirational,Graded by few things}",21,
VGVhY2hlci0yODg5ODIw,,Julia,Crisler,Writing,0,0,-1,"",0,
VGVhY2hlci0yNTMzMjQw,TSAI D,Danny,Tsai,Linguistics,3,2.4,100,"{Tough grader,Gives good feedback,Lots of homework,So many papers,Respected,Test heavy}",3,https://www.ems.ucsb.edu/sites/default/files/styles/max_1300x1300/public/2023-07/Danny_311.png.jpeg?itok=_zg7EY42
VGVhY2hlci0yMzM2Njk0,THOMASSON K M,Kelly,Thomasson,Biology,3.9,2.6,42,"{Lecture heavy,Get ready to read,Test heavy,Tough grader,EXTRA CREDIT,Caring,Accessible outside class,Skip class? You won't pass.,Graded by few things,Amazing lectures ,Lots of homework,Clear grading criteria,Group projects,Gives good feedback,Respected,Inspirational,Hilarious,Participation matters,Would take again,So many papers,Online Savvy}",71,https://proulx-lab.eemb.ucsb.edu/sites/default/files/styles/medium_square/public/2021-12/kelly-thomasson.jpg?h=62f393bf&itok=T1AU_V6G
