section_id,id,enrolled,capacity,message,timestamp
WINTER 2022 06585,193,16,16,Full,2023-12-29 23:57:14.518017
WINTER 2022 06593,194,15,16,"",2023-12-29 23:57:14.518017
WINTER 2022 06601,195,16,16,Full,2023-12-29 23:57:14.518017
WINTER 2022 64196,196,18,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 64204,197,20,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 64212,198,18,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 64220,199,19,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 64238,200,20,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 64246,201,20,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 64253,202,19,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 64261,203,17,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 64279,204,20,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 64287,205,19,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 64295,206,20,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 64303,207,19,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 64311,208,17,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 64329,209,18,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 64337,210,19,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 64345,211,18,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 64352,212,20,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 64360,213,20,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 64378,214,20,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 64386,215,21,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 64394,216,18,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 64402,217,18,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 64410,218,18,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 64428,219,20,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 64436,220,19,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 64444,221,20,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 52381,222,0,0,Cancelled,2023-12-29 23:57:14.518017
WINTER 2022 58420,223,8,10,"",2023-12-29 23:57:14.518017
WINTER 2022 61515,224,10,10,Full,2023-12-29 23:57:14.518017
WINTER 2022 61507,225,7,10,"",2023-12-29 23:57:14.518017
WINTER 2022 07054,226,13,14,"",2023-12-29 23:57:14.518017
WINTER 2022 07062,227,15,13,Full,2023-12-29 23:57:14.518017
WINTER 2022 07070,228,13,13,Full,2023-12-29 23:57:14.518017
WINTER 2022 07260,229,25,27,"",2023-12-29 23:57:14.518017
WINTER 2022 07278,230,26,27,"",2023-12-29 23:57:14.518017
WINTER 2022 07286,231,27,27,Full,2023-12-29 23:57:14.518017
WINTER 2022 07294,232,25,27,"",2023-12-29 23:57:14.518017
WINTER 2022 07302,233,24,27,"",2023-12-29 23:57:14.518017
WINTER 2022 07310,234,25,27,"",2023-12-29 23:57:14.518017
WINTER 2022 07328,235,27,27,Full,2023-12-29 23:57:14.518017
WINTER 2022 07336,236,25,27,"",2023-12-29 23:57:14.518017
WINTER 2022 07344,237,24,27,"",2023-12-29 23:57:14.518017
WINTER 2022 07351,238,26,27,"",2023-12-29 23:57:14.518017
WINTER 2022 07369,239,26,27,"",2023-12-29 23:57:14.518017
WINTER 2022 07377,240,25,27,"",2023-12-29 23:57:14.518017
WINTER 2022 07385,241,26,27,"",2023-12-29 23:57:14.518017
WINTER 2022 07393,242,26,27,"",2023-12-29 23:57:14.518017
WINTER 2022 07401,243,28,27,Full,2023-12-29 23:57:14.518017
WINTER 2022 07419,244,25,27,"",2023-12-29 23:57:14.518017
WINTER 2022 07427,245,25,27,"",2023-12-29 23:57:14.518017
WINTER 2022 07435,246,27,27,Full,2023-12-29 23:57:14.518017
WINTER 2022 07443,247,23,27,"",2023-12-29 23:57:14.518017
WINTER 2022 07450,248,26,27,"",2023-12-29 23:57:14.518017
WINTER 2022 07468,249,26,26,Full,2023-12-29 23:57:14.518017
WINTER 2022 07476,250,26,27,"",2023-12-29 23:57:14.518017
WINTER 2022 07484,251,27,27,Full,2023-12-29 23:57:14.518017
WINTER 2022 07492,252,26,27,"",2023-12-29 23:57:14.518017
WINTER 2022 07500,253,27,27,Full,2023-12-29 23:57:14.518017
WINTER 2022 07518,254,27,27,Full,2023-12-29 23:57:14.518017
